,Id,Name,Nation,Team,League,Born,Mac,Pos,Blok,Baskı,Pas,Gole_katkı,Dakika
0,0,Brenden Aaronson,USA,Leeds United,Premier League,2000,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Yunis Abdelhamid,MAR,Reims,Ligue 1,1987,22,DF,0.2416695938069705,0.27072090960768724,0.22358662482648378,0.0045045045045045045,0.9565007249879168
2,2,Himad Abdelli,FRA,Angers,Ligue 1,1999,14,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Salis Abdul Samed,GHA,Lens,Ligue 1,2000,20,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Laurent Abergel,FRA,Lorient,Ligue 1,1993,15,0.0,0.0,0.0,0.0,0.0,0.0
5,5,Oliver Abildgaard,DEN,Hellas Verona,Serie A,1996,1,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Matthis Abline,FRA,Auxerre,Ligue 1,2003,5,0.0,0.0,0.0,0.0,0.0,0.0
7,7,Matthis Abline,FRA,Rennes,Ligue 1,2003,11,0.0,0.0,0.0,0.0,0.0,0.0
8,8,Abner,BRA,Betis,La Liga,2000,4,DF,0.1543608391125809,0.38513477664536977,0.1531719100880875,0.0,0.13098115031416144
9,9,Zakaria Aboukhlal,MAR,Toulouse,Ligue 1,2000,22,0.0,0.0,0.0,0.0,0.0,0.0
10,10,Tammy Abraham,ENG,Roma,Serie A,1997,22,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Francesco Acerbi,ITA,Inter,Serie A,1988,14,DF,0.06789528080773213,0.2134766679487233,0.2708660799609055,0.0072072072072072065,0.5360077332044466
12,12,Mohamed Achi,FRA,Nantes,Ligue 1,2002,2,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Marcos Acu�a,ARG,Sevilla,La Liga,1991,16,DF,0.1146784723857532,0.31408106392287827,0.31170635476768893,0.06410810810810812,0.47559207346544224
14,14,Che Adams,SCO,Southampton,Premier League,1996,21,0.0,0.0,0.0,0.0,0.0,0.0
15,15,Tyler Adams,USA,Leeds United,Premier League,1999,19,0.0,0.0,0.0,0.0,0.0,0.0
16,16,Sargis Adamyan,ARM,K�ln,Bundesliga,1993,16,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Tosin Adarabioyo,ENG,Fulham,Premier League,1997,14,DF,0.10603161155867993,0.17576270293566335,0.18880355276324523,0.028000000000000004,0.528757854035766
18,18,Martin Adeline,FRA,Reims,Ligue 1,2003,5,0.0,0.0,0.0,0.0,0.0,0.0
19,19,Karim Adeyemi,GER,Dortmund,Bundesliga,2002,15,0.0,0.0,0.0,0.0,0.0,0.0
20,20,Amine Adli,FRA,Leverkusen,Bundesliga,2000,13,0.0,0.0,0.0,0.0,0.0,0.0
21,21,Yacine Adli,FRA,Milan,Serie A,2000,4,0.0,0.0,0.0,0.0,0.0,0.0
22,22,Michel Aebischer,SUI,Bologna,Serie A,1997,18,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Felix Afena-Gyan,GHA,Cremonese,Serie A,2003,12,0.0,0.0,0.0,0.0,0.0,0.0
24,24,Emmanuel Agbadou,CIV,Reims,Ligue 1,1997,19,DF,0.12761351552250222,0.27326521466529197,0.14972544189288706,0.00990990990990991,0.7723537941034316
25,25,Lucien Agoume,FRA,Troyes,Ligue 1,2002,5,0.0,0.0,0.0,0.0,0.0,0.0
26,26,Felix Agu,GER,Werder Bremen,Bundesliga,1999,3,DFFW,0.002762185955463266,0.0003999320471777312,0.014824273637990062,0.0,0.023199613339777672
27,27,�lvaro Aguado,ESP,Valladolid,La Liga,1996,19,0.0,0.0,0.0,0.0,0.0,0.0
28,28,Kevin Agudelo,COL,Spezia,Serie A,1998,21,0.0,0.0,0.0,0.0,0.0,0.0
29,29,Nayef Aguerd,MAR,West Ham,Premier League,1996,6,DF,0.16175417206876266,0.29461192696295385,0.209274635695744,0.0,0.24842919284678588
30,30,Ruben Aguilar,FRA,Monaco,Ligue 1,1993,13,DF,0.04091855632807846,0.1871259530541655,0.26949814156775576,0.0,0.29676172063798933
31,31,Naouirou Ahamada,FRA,Crystal Palace,Premier League,2002,2,0.0,0.0,0.0,0.0,0.0,0.0
32,32,Naouirou Ahamada,FRA,Stuttgart,Bundesliga,2002,17,0.0,0.0,0.0,0.0,0.0,0.0
33,33,Amar Ahmed,SWE,Troyes,Ligue 1,2004,1,0.0,0.0,0.0,0.0,0.0,0.0
34,34,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,1994,19,0.0,0.0,0.0,0.0,0.0,0.0
35,35,Joseph Aidoo,GHA,Celta Vigo,La Liga,1995,20,DF,0.06510214929198715,0.19651384175418746,0.20825215297650043,0.05600000000000001,0.8695021749637506
36,36,Ola Aina,NGA,Torino,Serie A,1996,12,DF,0.07191571470356448,0.11764039707662272,0.22260354016002212,0.039711711711711714,0.32624456259062345
37,37,Rayan A�t Nouri,FRA,Wolves,Premier League,2001,17,DF,0.0018599343785490206,0.29415814790193884,0.21937988918019974,0.028000000000000004,0.44079265345577573
38,38,Emanuel Aiwum,AUT,Cremonese,Serie A,2000,15,DF,0.15839460627234803,0.2823528194907602,0.21261354147285888,0.0,0.49685838569357177
